I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.104,-0.062,-0.166,-0.021,0.135,-0.113,0.051,0.29,0.309,0.099,0.075,0.014
0.102,-0.057,-0.159,-0.022,0.131,-0.108,0.05,0.293,0.313,0.103,0.075,0.016
0.101,-0.052,-0.152,-0.024,0.127,-0.102,0.049,0.295,0.316,0.107,0.075,0.014
0.107,-0.043,-0.149,-0.032,0.128,-0.095,0.044,0.296,0.323,0.111,0.075,0.016
0.11,-0.035,-0.145,-0.037,0.128,-0.09,0.04,0.3,0.335,0.115,0.075,0.02
0.109,-0.032,-0.141,-0.039,0.125,-0.086,0.036,0.304,0.336,0.116,0.075,0.02
0.116,-0.021,-0.137,-0.047,0.127,-0.079,0.032,0.311,0.333,0.113,0.074,0.019
0.122,-0.011,-0.133,-0.055,0.128,-0.072,0.028,0.318,0.342,0.122,0.08,0.022
0.127,-0.002,-0.129,-0.062,0.128,-0.065,0.024,0.321,0.357,0.138,0.092,0.025
0.135,0.01,-0.125,-0.072,0.13,-0.057,0.02,0.325,0.36,0.14,0.095,0.025
0.143,0.018,-0.125,-0.08,0.134,-0.053,0.012,0.329,0.363,0.14,0.095,0.025
0.151,0.029,-0.122,-0.09,0.136,-0.046,0.007,0.336,0.371,0.14,0.094,0.028
0.159,0.039,-0.12,-0.099,0.139,-0.04,0.003,0.342,0.378,0.139,0.097,0.031
0.167,0.048,-0.119,-0.107,0.143,-0.035,-0.001,0.347,0.38,0.142,0.1,0.03
0.175,0.06,-0.115,-0.117,0.145,-0.027,-0.005,0.355,0.385,0.15,0.1,0.03
0.183,0.067,-0.115,-0.124,0.149,-0.023,-0.009,0.359,0.398,0.154,0.1,0.033
0.194,0.082,-0.112,-0.138,0.153,-0.015,-0.013,0.362,0.403,0.161,0.101,0.04
0.204,0.094,-0.11,-0.149,0.156,-0.008,-0.017,0.369,0.41,0.169,0.097,0.036
0.205,0.095,-0.109,-0.15,0.156,-0.006,-0.02,0.385,0.423,0.178,0.106,0.038
0.205,0.1,-0.105,-0.152,0.155,-0.002,-0.02,0.405,0.435,0.19,0.135,0.06
0.214,0.108,-0.105,-0.16,0.159,0.001,-0.024,0.414,0.447,0.198,0.141,0.065
0.215,0.113,-0.102,-0.164,0.158,0.005,-0.025,0.417,0.459,0.205,0.14,0.067
0.218,0.119,-0.099,-0.169,0.158,0.009,-0.027,0.427,0.469,0.216,0.14,0.073
0.227,0.126,-0.1,-0.176,0.163,0.013,-0.03,0.444,0.477,0.227,0.14,0.075
0.23,0.13,-0.1,-0.18,0.165,0.015,-0.03,0.455,0.49,0.23,0.14,0.075
0.236,0.141,-0.096,-0.188,0.166,0.022,-0.038,0.463,0.508,0.238,0.148,0.079
0.256,0.161,-0.094,-0.208,0.175,0.033,-0.041,0.472,0.509,0.243,0.152,0.08
0.269,0.174,-0.096,-0.221,0.182,0.039,-0.039,0.493,0.52,0.25,0.162,0.083
0.27,0.176,-0.094,-0.222,0.182,0.041,-0.042,0.513,0.545,0.263,0.178,0.092
0.27,0.18,-0.09,-0.225,0.18,0.045,-0.055,0.515,0.555,0.27,0.18,0.1
0.273,0.184,-0.09,-0.229,0.181,0.046,-0.064,0.526,0.563,0.275,0.18,0.104
0.282,0.192,-0.09,-0.237,0.186,0.051,-0.068,0.539,0.57,0.276,0.182,0.111
0.301,0.211,-0.09,-0.256,0.196,0.06,-0.074,0.552,0.584,0.29,0.191,0.118
0.316,0.227,-0.089,-0.272,0.202,0.068,-0.081,0.569,0.605,0.316,0.202,0.121
0.315,0.23,-0.085,-0.272,0.2,0.072,-0.085,0.585,0.62,0.33,0.205,0.125
0.326,0.241,-0.085,-0.283,0.205,0.078,-0.092,0.594,0.629,0.335,0.209,0.128
0.339,0.254,-0.085,-0.296,0.212,0.084,-0.104,0.599,0.631,0.336,0.215,0.136
0.351,0.266,-0.085,-0.308,0.218,0.09,-0.115,0.615,0.644,0.347,0.225,0.141
0.371,0.287,-0.084,-0.329,0.228,0.101,-0.121,0.633,0.663,0.364,0.239,0.148
0.395,0.315,-0.08,-0.355,0.237,0.117,-0.125,0.64,0.67,0.375,0.255,0.165
0.4,0.321,-0.08,-0.361,0.24,0.12,-0.13,0.661,0.686,0.386,0.268,0.173
0.399,0.319,-0.08,-0.359,0.24,0.12,-0.128,0.67,0.7,0.403,0.273,0.182
0.402,0.322,-0.08,-0.362,0.241,0.121,-0.137,0.67,0.708,0.414,0.279,0.186
0.405,0.325,-0.079,-0.365,0.241,0.123,-0.153,0.679,0.719,0.424,0.294,0.194
0.4,0.325,-0.075,-0.362,0.237,0.125,-0.155,0.7,0.735,0.445,0.31,0.21
0.402,0.327,-0.075,-0.364,0.238,0.126,-0.154,0.709,0.734,0.454,0.314,0.213
0.421,0.346,-0.075,-0.383,0.248,0.135,-0.161,0.714,0.747,0.459,0.323,0.227
0.433,0.358,-0.075,-0.395,0.253,0.141,-0.167,0.714,0.759,0.474,0.336,0.239
0.438,0.363,-0.075,-0.4,0.257,0.143,-0.172,0.709,0.761,0.487,0.349,0.248
0.455,0.38,-0.075,-0.417,0.265,0.152,-0.185,0.705,0.765,0.49,0.365,0.265
0.46,0.389,-0.071,-0.424,0.265,0.159,-0.198,0.701,0.769,0.506,0.37,0.27
0.463,0.393,-0.07,-0.428,0.266,0.161,-0.204,0.7,0.771,0.518,0.368,0.269
0.467,0.397,-0.07,-0.432,0.268,0.163,-0.22,0.699,0.766,0.521,0.377,0.273
0.471,0.401,-0.07,-0.436,0.271,0.165,-0.237,0.694,0.759,0.528,0.393,0.282
0.475,0.405,-0.07,-0.44,0.272,0.167,-0.235,0.69,0.755,0.54,0.4,0.29
0.47,0.404,-0.066,-0.437,0.267,0.169,-0.233,0.69,0.751,0.536,0.404,0.293
0.476,0.412,-0.065,-0.443,0.27,0.173,-0.247,0.688,0.747,0.535,0.408,0.305
0.496,0.431,-0.065,-0.463,0.281,0.183,-0.259,0.682,0.743,0.533,0.412,0.31
0.512,0.447,-0.065,-0.479,0.288,0.191,-0.26,0.68,0.74,0.53,0.416,0.304
0.51,0.445,-0.065,-0.477,0.287,0.19,-0.26,0.68,0.735,0.53,0.42,0.305
0.509,0.443,-0.065,-0.475,0.286,0.189,-0.265,0.665,0.719,0.526,0.421,0.305
0.517,0.455,-0.062,-0.486,0.29,0.196,-0.263,0.649,0.703,0.525,0.417,0.305
0.517,0.46,-0.057,-0.488,0.287,0.201,-0.273,0.629,0.686,0.523,0.413,0.305
0.509,0.454,-0.055,-0.481,0.281,0.2,-0.286,0.604,0.672,0.52,0.409,0.304
0.51,0.455,-0.055,-0.482,0.282,0.2,-0.28,0.58,0.66,0.52,0.405,0.3
0.506,0.456,-0.051,-0.481,0.278,0.202,-0.279,0.552,0.637,0.516,0.401,0.3
0.502,0.452,-0.05,-0.477,0.276,0.201,-0.281,0.527,0.611,0.516,0.397,0.3
0.498,0.449,-0.049,-0.473,0.273,0.2,-0.278,0.503,0.589,0.51,0.394,0.3
0.494,0.451,-0.044,-0.472,0.269,0.203,-0.274,0.48,0.571,0.497,0.387,0.301
0.49,0.45,-0.04,-0.47,0.265,0.205,-0.275,0.46,0.555,0.485,0.375,0.3
0.475,0.435,-0.04,-0.455,0.258,0.197,-0.276,0.436,0.531,0.473,0.367,0.285
0.454,0.418,-0.037,-0.436,0.245,0.19,-0.267,0.415,0.507,0.462,0.356,0.268
0.438,0.402,-0.036,-0.42,0.237,0.183,-0.254,0.392,0.481,0.444,0.347,0.252
0.418,0.386,-0.033,-0.401,0.225,0.176,-0.242,0.363,0.453,0.42,0.335,0.237
0.385,0.37,-0.015,-0.377,0.2,0.177,-0.23,0.335,0.425,0.4,0.31,0.225
0.36,0.362,0.001,-0.361,0.179,0.181,-0.222,0.303,0.393,0.373,0.289,0.209
0.338,0.354,0.016,-0.347,0.161,0.185,-0.211,0.273,0.363,0.343,0.273,0.196
0.311,0.346,0.035,-0.329,0.138,0.19,-0.2,0.249,0.339,0.319,0.258,0.184
0.293,0.339,0.046,-0.316,0.124,0.192,-0.193,0.231,0.321,0.3,0.239,0.172
0.29,0.33,0.04,-0.31,0.125,0.185,-0.185,0.215,0.305,0.28,0.215,0.16
0.264,0.303,0.04,-0.283,0.112,0.171,-0.173,0.195,0.277,0.256,0.195,0.136
0.231,0.272,0.04,-0.252,0.095,0.156,-0.163,0.175,0.251,0.232,0.173,0.114
0.213,0.254,0.04,-0.234,0.087,0.147,-0.157,0.155,0.228,0.208,0.147,0.097
0.21,0.249,0.04,-0.229,0.085,0.144,-0.146,0.135,0.204,0.185,0.125,0.081
0.205,0.245,0.04,-0.225,0.082,0.142,-0.13,0.115,0.18,0.165,0.105,0.065
0.194,0.237,0.043,-0.215,0.075,0.139,-0.118,0.098,0.16,0.141,0.085,0.049
0.209,0.232,0.024,-0.22,0.092,0.128,-0.103,0.086,0.14,0.12,0.068,0.033
0.194,0.226,0.033,-0.21,0.081,0.129,-0.088,0.072,0.12,0.099,0.052,0.017
0.154,0.219,0.065,-0.186,0.044,0.142,-0.078,0.057,0.1,0.074,0.036,0.001
0.15,0.215,0.065,-0.183,0.042,0.14,-0.07,0.045,0.08,0.05,0.02,-0.015
0.144,0.207,0.063,-0.176,0.04,0.135,-0.062,0.033,0.068,0.033,0.008,-0.031
0.121,0.199,0.078,-0.16,0.021,0.139,-0.054,0.023,0.056,0.021,-0.004,-0.044
0.106,0.191,0.085,-0.149,0.01,0.138,-0.046,0.017,0.044,0.007,-0.014,-0.056
0.104,0.183,0.079,-0.143,0.012,0.131,-0.038,0.007,0.032,-0.009,-0.023,-0.068
0.095,0.175,0.08,-0.135,0.007,0.127,-0.03,-0.005,0.02,-0.02,-0.035,-0.08
0.086,0.167,0.08,-0.127,0.003,0.123,-0.026,-0.013,0.012,-0.028,-0.043,-0.084
0.082,0.162,0.08,-0.122,0.001,0.121,-0.022,-0.021,0.004,-0.037,-0.054,-0.087
0.076,0.157,0.08,-0.116,-0.002,0.119,-0.018,-0.028,-0.002,-0.041,-0.064,-0.094
0.069,0.148,0.079,-0.108,-0.005,0.113,-0.014,-0.03,-0.007,-0.048,-0.072,-0.101
0.065,0.14,0.075,-0.103,-0.005,0.107,-0.01,-0.03,-0.015,-0.065,-0.08,-0.105
0.061,0.136,0.075,-0.099,-0.007,0.105,-0.006,-0.03,-0.023,-0.07,-0.084,-0.109
0.054,0.129,0.075,-0.092,-0.011,0.102,-0.001,-0.03,-0.028,-0.069,-0.088,-0.113
0.046,0.121,0.075,-0.084,-0.015,0.098,0.0,-0.03,-0.032,-0.073,-0.092,-0.117
0.038,0.113,0.075,-0.076,-0.019,0.094,0.001,-0.031,-0.035,-0.082,-0.097,-0.12
0.035,0.11,0.075,-0.073,-0.02,0.092,0.005,-0.035,-0.035,-0.085,-0.105,-0.12
0.039,0.114,0.075,-0.077,-0.019,0.095,0.005,-0.035,-0.039,-0.084,-0.11,-0.12
0.044,0.115,0.072,-0.08,-0.015,0.093,0.008,-0.035,-0.04,-0.091,-0.11,-0.123
0.045,0.115,0.069,-0.08,-0.013,0.092,0.01,-0.035,-0.042,-0.098,-0.111,-0.126
0.045,0.115,0.07,-0.08,-0.013,0.092,0.011,-0.035,-0.045,-0.101,-0.109,-0.125
0.045,0.115,0.07,-0.08,-0.013,0.092,0.015,-0.035,-0.045,-0.105,-0.11,-0.125
0.045,0.115,0.07,-0.08,-0.013,0.092,0.015,-0.031,-0.049,-0.109,-0.131,-0.129
0.044,0.115,0.071,-0.08,-0.014,0.092,0.014,-0.029,-0.05,-0.113,-0.134,-0.13
0.047,0.115,0.068,-0.081,-0.011,0.091,0.017,-0.031,-0.05,-0.116,-0.129,-0.13
0.05,0.115,0.065,-0.083,-0.008,0.09,0.02,-0.029,-0.05,-0.114,-0.13,-0.13
0.05,0.115,0.065,-0.083,-0.008,0.09,0.02,-0.025,-0.05,-0.11,-0.13,-0.13
0.05,0.115,0.065,-0.083,-0.008,0.09,0.024,-0.025,-0.05,-0.11,-0.13,-0.13
0.05,0.115,0.065,-0.083,-0.008,0.09,0.025,-0.025,-0.05,-0.11,-0.13,-0.13
0.05,0.115,0.065,-0.083,-0.008,0.09,0.027,-0.025,-0.05,-0.11,-0.13,-0.13
0.05,0.115,0.065,-0.083,-0.008,0.09,0.031,-0.024,-0.05,-0.11,-0.13,-0.131
0.05,0.115,0.065,-0.083,-0.008,0.09,0.03,-0.02,-0.05,-0.11,-0.13,-0.135
0.054,0.115,0.061,-0.084,-0.004,0.088,0.028,-0.02,-0.05,-0.11,-0.13,-0.135
0.059,0.115,0.056,-0.087,0.001,0.085,0.043,-0.021,-0.05,-0.11,-0.13,-0.135
0.06,0.115,0.055,-0.088,0.002,0.085,0.05,-0.018,-0.05,-0.11,-0.13,-0.135
0.061,0.115,0.054,-0.088,0.003,0.085,0.044,-0.015,-0.05,-0.11,-0.13,-0.135
0.065,0.115,0.05,-0.09,0.007,0.082,0.045,-0.015,-0.05,-0.11,-0.13,-0.135
0.069,0.115,0.046,-0.092,0.011,0.08,0.045,-0.015,-0.05,-0.11,-0.126,-0.135
0.072,0.115,0.043,-0.094,0.014,0.079,0.045,-0.016,-0.05,-0.111,-0.125,-0.134
0.063,0.115,0.052,-0.089,0.005,0.084,0.045,-0.013,-0.05,-0.108,-0.125,-0.137
0.047,0.115,0.068,-0.082,-0.011,0.091,0.045,-0.01,-0.05,-0.105,-0.125,-0.14
0.045,0.115,0.07,-0.08,-0.013,0.092,0.045,-0.01,-0.05,-0.105,-0.125,-0.14
0.043,0.115,0.073,-0.079,-0.015,0.094,0.045,-0.01,-0.05,-0.105,-0.125,-0.14
0.027,0.114,0.087,-0.071,-0.031,0.101,0.045,-0.01,-0.05,-0.105,-0.125,-0.14
0.02,0.118,0.099,-0.069,-0.04,0.108,0.045,-0.01,-0.05,-0.105,-0.125,-0.14
0.027,0.127,0.1,-0.077,-0.037,0.113,0.045,-0.009,-0.05,-0.105,-0.125,-0.14
0.03,0.13,0.1,-0.08,-0.035,0.115,0.045,-0.005,-0.05,-0.105,-0.125,-0.14
0.031,0.13,0.1,-0.08,-0.034,0.115,0.045,-0.005,-0.05,-0.105,-0.125,-0.14
0.027,0.13,0.103,-0.079,-0.038,0.116,0.042,-0.005,-0.05,-0.105,-0.125,-0.14
0.025,0.13,0.105,-0.078,-0.04,0.117,0.039,-0.005,-0.049,-0.105,-0.125,-0.138
0.025,0.13,0.105,-0.078,-0.04,0.117,0.04,-0.005,-0.044,-0.105,-0.124,-0.134
0.03,0.135,0.105,-0.083,-0.038,0.12,0.04,-0.005,-0.04,-0.105,-0.12,-0.13
0.046,0.148,0.103,-0.097,-0.029,0.125,0.04,-0.005,-0.04,-0.105,-0.12,-0.126
0.026,0.148,0.122,-0.087,-0.048,0.134,0.04,-0.002,-0.038,-0.102,-0.121,-0.125
0.016,0.144,0.128,-0.08,-0.056,0.135,0.04,0.001,-0.033,-0.099,-0.118,-0.124
0.034,0.145,0.112,-0.09,-0.04,0.129,0.04,0.0,-0.03,-0.1,-0.115,-0.119
0.04,0.145,0.105,-0.093,-0.033,0.125,0.04,0.0,-0.03,-0.1,-0.115,-0.115
0.044,0.141,0.097,-0.093,-0.027,0.119,0.04,0.0,-0.03,-0.096,-0.115,-0.115
0.051,0.139,0.089,-0.096,-0.019,0.114,0.04,-0.001,-0.03,-0.095,-0.115,-0.112
0.059,0.141,0.081,-0.1,-0.011,0.11,0.04,0.002,-0.03,-0.095,-0.113,-0.108
0.066,0.139,0.073,-0.103,-0.003,0.106,0.04,0.005,-0.03,-0.095,-0.11,-0.104
0.07,0.135,0.065,-0.103,0.002,0.1,0.04,0.005,-0.03,-0.095,-0.11,-0.105
0.074,0.135,0.061,-0.104,0.006,0.097,0.036,0.005,-0.03,-0.091,-0.11,-0.109
0.079,0.136,0.057,-0.108,0.011,0.096,0.035,0.005,-0.03,-0.09,-0.107,-0.11
0.078,0.133,0.055,-0.106,0.011,0.094,0.035,0.005,-0.03,-0.09,-0.104,-0.11
0.075,0.13,0.054,-0.103,0.01,0.091,0.035,0.005,-0.03,-0.09,-0.105,-0.11
0.08,0.13,0.05,-0.105,0.015,0.09,0.035,0.005,-0.03,-0.09,-0.105,-0.11
0.084,0.13,0.047,-0.108,0.019,0.088,0.031,0.001,-0.03,-0.086,-0.105,-0.11
0.087,0.127,0.04,-0.107,0.023,0.083,0.03,-0.001,-0.03,-0.084,-0.108,-0.11
0.064,0.124,0.061,-0.094,0.001,0.093,0.03,0.001,-0.03,-0.086,-0.111,-0.11
0.038,0.125,0.088,-0.082,-0.025,0.106,0.03,-0.001,-0.03,-0.084,-0.11,-0.11
0.045,0.125,0.08,-0.085,-0.018,0.102,0.03,-0.005,-0.03,-0.08,-0.11,-0.11
0.041,0.121,0.08,-0.081,-0.019,0.1,0.026,-0.005,-0.03,-0.08,-0.11,-0.11
0.042,0.119,0.077,-0.081,-0.017,0.098,0.025,-0.005,-0.03,-0.08,-0.11,-0.11
0.046,0.121,0.075,-0.084,-0.014,0.097,0.025,-0.005,-0.03,-0.08,-0.11,-0.11
0.045,0.119,0.074,-0.082,-0.015,0.096,0.025,-0.006,-0.03,-0.079,-0.11,-0.111
0.045,0.115,0.07,-0.08,-0.013,0.092,0.025,-0.01,-0.03,-0.075,-0.11,-0.115
0.045,0.115,0.07,-0.08,-0.013,0.092,0.025,-0.01,-0.03,-0.075,-0.11,-0.115
0.045,0.112,0.067,-0.079,-0.011,0.089,0.022,-0.01,-0.03,-0.075,-0.11,-0.115
0.044,0.109,0.065,-0.077,-0.01,0.087,0.019,-0.01,-0.03,-0.075,-0.11,-0.115
0.046,0.11,0.064,-0.079,-0.009,0.087,0.02,-0.011,-0.03,-0.075,-0.11,-0.115
0.05,0.11,0.06,-0.08,-0.005,0.085,0.02,-0.015,-0.03,-0.075,-0.11,-0.115
0.046,0.106,0.06,-0.076,-0.007,0.082,0.02,-0.015,-0.03,-0.075,-0.11,-0.115
0.044,0.104,0.06,-0.074,-0.008,0.082,0.017,-0.014,-0.03,-0.075,-0.11,-0.115
0.046,0.106,0.06,-0.076,-0.008,0.082,0.014,-0.017,-0.032,-0.074,-0.11,-0.115
0.044,0.104,0.06,-0.074,-0.008,0.082,0.015,-0.02,-0.036,-0.077,-0.11,-0.115
0.04,0.1,0.06,-0.07,-0.01,0.08,0.015,-0.02,-0.04,-0.09,-0.11,-0.115
0.04,0.1,0.06,-0.07,-0.01,0.08,0.015,-0.02,-0.044,-0.095,-0.11,-0.115
0.041,0.101,0.06,-0.071,-0.01,0.08,0.015,-0.019,-0.045,-0.095,-0.11,-0.114
0.038,0.098,0.06,-0.068,-0.011,0.079,0.017,-0.022,-0.045,-0.095,-0.11,-0.117
0.034,0.095,0.06,-0.065,-0.013,0.077,0.021,-0.025,-0.044,-0.096,-0.11,-0.12
0.035,0.095,0.06,-0.065,-0.013,0.077,0.025,-0.025,-0.045,-0.1,-0.11,-0.12
0.036,0.094,0.058,-0.065,-0.011,0.075,0.029,-0.025,-0.061,-0.101,-0.11,-0.12
0.028,0.104,0.076,-0.066,-0.024,0.09,0.034,-0.023,-0.069,-0.098,-0.11,-0.12
0.043,0.129,0.086,-0.087,-0.022,0.107,0.034,-0.032,-0.071,-0.105,-0.11,-0.12
0.067,0.146,0.079,-0.107,-0.006,0.112,0.029,-0.048,-0.076,-0.117,-0.111,-0.12
0.06,0.14,0.08,-0.1,-0.01,0.11,0.03,-0.05,-0.08,-0.12,-0.115,-0.12
0.059,0.139,0.08,-0.099,-0.01,0.11,0.03,-0.05,-0.08,-0.12,-0.115,-0.12
0.06,0.141,0.08,-0.101,-0.01,0.111,0.031,-0.05,-0.083,-0.119,-0.114,-0.123
0.06,0.138,0.078,-0.099,-0.009,0.108,0.028,-0.05,-0.085,-0.122,-0.117,-0.126
0.06,0.135,0.075,-0.098,-0.008,0.105,0.025,-0.05,-0.086,-0.125,-0.12,-0.125
0.06,0.135,0.075,-0.098,-0.008,0.105,0.025,-0.05,-0.09,-0.125,-0.12,-0.125
0.061,0.135,0.075,-0.098,-0.008,0.105,0.025,-0.05,-0.09,-0.125,-0.12,-0.125
0.056,0.132,0.076,-0.095,-0.01,0.103,0.026,-0.053,-0.093,-0.125,-0.117,-0.125
0.056,0.129,0.073,-0.093,-0.008,0.101,0.023,-0.055,-0.096,-0.125,-0.114,-0.125
0.061,0.13,0.07,-0.095,-0.004,0.1,0.02,-0.056,-0.095,-0.125,-0.115,-0.125
0.06,0.13,0.07,-0.095,-0.005,0.1,0.02,-0.06,-0.095,-0.125,-0.115,-0.125
0.056,0.126,0.07,-0.091,-0.008,0.098,0.02,-0.06,-0.095,-0.125,-0.115,-0.121
0.055,0.124,0.07,-0.09,-0.008,0.097,0.02,-0.063,-0.095,-0.125,-0.115,-0.12
0.055,0.126,0.07,-0.09,-0.008,0.098,0.02,-0.066,-0.095,-0.125,-0.115,-0.12
0.055,0.124,0.069,-0.09,-0.008,0.096,0.019,-0.064,-0.095,-0.125,-0.115,-0.12
0.055,0.12,0.065,-0.088,-0.005,0.092,0.015,-0.06,-0.095,-0.125,-0.115,-0.12
0.055,0.12,0.065,-0.088,-0.005,0.092,0.015,-0.06,-0.095,-0.125,-0.115,-0.12
0.056,0.121,0.065,-0.089,-0.005,0.092,0.015,-0.06,-0.095,-0.125,-0.115,-0.12
0.053,0.118,0.065,-0.086,-0.007,0.091,0.015,-0.06,-0.095,-0.125,-0.115,-0.12
0.05,0.114,0.064,-0.083,-0.007,0.089,0.014,-0.06,-0.095,-0.125,-0.115,-0.12
0.055,0.115,0.06,-0.085,-0.003,0.087,0.01,-0.06,-0.095,-0.125,-0.115,-0.12
0.056,0.116,0.06,-0.086,-0.002,0.087,0.01,-0.06,-0.095,-0.125,-0.115,-0.12
0.049,0.109,0.06,-0.079,-0.006,0.084,0.01,-0.06,-0.095,-0.125,-0.115,-0.12
0.043,0.102,0.06,-0.072,-0.009,0.081,0.01,-0.06,-0.095,-0.125,-0.115,-0.12
0.039,0.099,0.06,-0.069,-0.011,0.08,0.01,-0.06,-0.095,-0.125,-0.115,-0.12
0.035,0.095,0.06,-0.065,-0.013,0.077,0.01,-0.06,-0.095,-0.125,-0.115,-0.12
0.035,0.091,0.056,-0.063,-0.01,0.073,0.006,-0.06,-0.095,-0.125,-0.115,-0.12
0.033,0.087,0.054,-0.061,-0.011,0.071,0.005,-0.061,-0.095,-0.125,-0.115,-0.12
0.027,0.082,0.056,-0.055,-0.015,0.069,0.005,-0.058,-0.095,-0.125,-0.115,-0.12
0.026,0.08,0.054,-0.054,-0.014,0.067,0.005,-0.055,-0.095,-0.125,-0.115,-0.12
0.035,0.085,0.05,-0.06,-0.008,0.067,0.005,-0.055,-0.095,-0.125,-0.115,-0.12
0.036,0.085,0.05,-0.06,-0.008,0.067,0.005,-0.055,-0.095,-0.125,-0.115,-0.12
0.034,0.085,0.051,-0.059,-0.009,0.067,0.002,-0.055,-0.095,-0.125,-0.115,-0.12
0.037,0.085,0.048,-0.061,-0.006,0.066,-0.001,-0.055,-0.095,-0.125,-0.115,-0.12
0.04,0.085,0.045,-0.063,-0.003,0.065,0.0,-0.055,-0.095,-0.124,-0.114,-0.12
0.04,0.085,0.045,-0.063,-0.003,0.065,0.0,-0.055,-0.095,-0.12,-0.11,-0.12
0.04,0.085,0.045,-0.063,-0.003,0.065,0.0,-0.055,-0.095,-0.12,-0.11,-0.12
0.041,0.085,0.044,-0.063,-0.002,0.065,0.0,-0.055,-0.095,-0.12,-0.11,-0.12
0.038,0.085,0.047,-0.062,-0.005,0.066,0.0,-0.055,-0.095,-0.12,-0.11,-0.12
0.034,0.085,0.05,-0.06,-0.009,0.067,-0.001,-0.055,-0.095,-0.12,-0.11,-0.12
0.035,0.085,0.05,-0.06,-0.008,0.067,-0.005,-0.055,-0.095,-0.12,-0.11,-0.12
0.039,0.089,0.05,-0.064,-0.005,0.069,-0.005,-0.055,-0.095,-0.12,-0.11,-0.12
0.04,0.09,0.05,-0.065,-0.005,0.07,-0.005,-0.058,-0.098,-0.12,-0.11,-0.12
0.04,0.09,0.05,-0.065,-0.005,0.07,-0.005,-0.06,-0.101,-0.12,-0.11,-0.12
0.04,0.09,0.05,-0.065,-0.005,0.07,-0.005,-0.061,-0.1,-0.12,-0.11,-0.12
0.04,0.09,0.05,-0.065,-0.005,0.07,-0.005,-0.065,-0.1,-0.12,-0.11,-0.12
0.04,0.09,0.05,-0.065,-0.005,0.07,-0.009,-0.065,-0.1,-0.12,-0.11,-0.12
0.04,0.09,0.05,-0.065,-0.005,0.07,-0.01,-0.068,-0.1,-0.12,-0.11,-0.12
0.04,0.09,0.05,-0.065,-0.005,0.07,-0.01,-0.07,-0.099,-0.12,-0.11,-0.12
0.04,0.09,0.05,-0.065,-0.005,0.07,-0.01,-0.071,-0.101,-0.12,-0.11,-0.12
0.04,0.09,0.05,-0.065,-0.005,0.07,-0.01,-0.075,-0.105,-0.12,-0.11,-0.12
0.039,0.09,0.051,-0.064,-0.006,0.07,-0.01,-0.075,-0.103,-0.12,-0.11,-0.12
0.047,0.093,0.046,-0.07,0.0,0.069,-0.011,-0.075,-0.118,-0.12,-0.11,-0.12
0.033,0.097,0.064,-0.065,-0.016,0.08,-0.008,-0.075,-0.125,-0.12,-0.11,-0.12
0.014,0.101,0.087,-0.058,-0.037,0.094,-0.005,-0.075,-0.119,-0.12,-0.11,-0.12
0.025,0.105,0.08,-0.065,-0.028,0.092,-0.005,-0.075,-0.12,-0.12,-0.11,-0.12
0.026,0.106,0.08,-0.066,-0.028,0.092,-0.005,-0.075,-0.12,-0.12,-0.11,-0.124
0.024,0.102,0.077,-0.063,-0.027,0.089,-0.005,-0.075,-0.12,-0.12,-0.11,-0.129
0.026,0.1,0.074,-0.063,-0.024,0.087,-0.005,-0.075,-0.12,-0.12,-0.11,-0.128
0.024,0.099,0.075,-0.062,-0.026,0.087,-0.005,-0.075,-0.12,-0.12,-0.11,-0.124
0.02,0.095,0.075,-0.058,-0.028,0.085,-0.005,-0.075,-0.12,-0.12,-0.11,-0.125
0.024,0.095,0.071,-0.059,-0.024,0.082,-0.005,-0.075,-0.12,-0.12,-0.11,-0.125
0.026,0.096,0.069,-0.061,-0.022,0.082,-0.002,-0.075,-0.117,-0.123,-0.113,-0.126
0.022,0.093,0.071,-0.058,-0.024,0.082,0.001,-0.075,-0.114,-0.126,-0.116,-0.123
0.021,0.09,0.069,-0.055,-0.024,0.079,0.0,-0.075,-0.115,-0.125,-0.115,-0.12
0.025,0.09,0.065,-0.058,-0.02,0.077,0.0,-0.075,-0.115,-0.125,-0.115,-0.12
0.021,0.086,0.065,-0.054,-0.022,0.075,0.0,-0.075,-0.115,-0.125,-0.115,-0.12
0.019,0.084,0.066,-0.052,-0.024,0.075,0.0,-0.078,-0.115,-0.125,-0.115,-0.121
0.023,0.086,0.063,-0.054,-0.021,0.074,0.0,-0.081,-0.115,-0.125,-0.115,-0.118
0.024,0.084,0.06,-0.054,-0.018,0.072,0.0,-0.08,-0.115,-0.125,-0.115,-0.115
0.02,0.08,0.06,-0.05,-0.02,0.07,0.0,-0.08,-0.115,-0.125,-0.115,-0.115
0.024,0.08,0.056,-0.053,-0.016,0.068,0.004,-0.08,-0.111,-0.125,-0.115,-0.115
0.023,0.077,0.054,-0.05,-0.016,0.065,0.005,-0.08,-0.11,-0.125,-0.115,-0.115
0.019,0.074,0.056,-0.047,-0.019,0.065,0.005,-0.08,-0.11,-0.125,-0.115,-0.115
0.021,0.075,0.054,-0.049,-0.017,0.065,0.005,-0.08,-0.11,-0.125,-0.115,-0.114
0.025,0.075,0.05,-0.05,-0.013,0.062,0.005,-0.08,-0.11,-0.125,-0.115,-0.11
